,0,1,speaker,start,end
0,[ 00:00:06.876 -->  00:00:37.487],AA,SPEAKER_01,6.8765625,37.487812500000004
1,[ 00:00:43.090 -->  00:01:29.850],A,SPEAKER_00,43.0903125,89.8509375
2,[ 00:01:29.850 -->  00:01:31.673],AE,SPEAKER_02,89.8509375,91.6734375
3,[ 00:01:31.673 -->  00:01:51.653],B,SPEAKER_00,91.6734375,111.6534375
4,[ 00:01:51.754 -->  00:02:23.530],AF,SPEAKER_02,111.7546875,143.53031249999998
5,[ 00:02:23.530 -->  00:03:57.726],C,SPEAKER_00,143.53031249999998,237.7265625
6,[ 00:03:57.760 -->  00:04:13.892],AG,SPEAKER_02,237.7603125,253.8928125
7,[ 00:04:14.095 -->  00:06:01.082],D,SPEAKER_00,254.09531250000003,361.08281250000005
8,[ 00:06:01.335 -->  00:06:31.727],AH,SPEAKER_02,361.33593750000006,391.7278125
9,[ 00:06:31.727 -->  00:07:15.839],E,SPEAKER_00,391.7278125,435.8390625
10,[ 00:07:15.839 -->  00:07:37.135],AI,SPEAKER_02,435.8390625,457.13531250000005
11,[ 00:07:37.118 -->  00:07:39.008],F,SPEAKER_00,457.1184375,459.0084375
12,[ 00:07:38.805 -->  00:08:06.480],AJ,SPEAKER_02,458.8059375,486.48093750000004
13,[ 00:08:06.734 -->  00:09:29.219],G,SPEAKER_00,486.73406250000005,569.2190625000001
14,[ 00:09:29.219 -->  00:10:04.740],AK,SPEAKER_02,569.2190625000001,604.7409375000001
15,[ 00:10:05.179 -->  00:13:13.268],H,SPEAKER_00,605.1796875,793.2684375
16,[ 00:13:13.268 -->  00:13:17.672],AL,SPEAKER_02,793.2684375,797.6728125000001
17,[ 00:13:17.369 -->  00:13:21.351],I,SPEAKER_00,797.3690625,801.3515625000001
18,[ 00:13:19.512 -->  00:13:19.714],AM,SPEAKER_02,799.5121875000001,799.7146875000001
19,[ 00:13:21.284 -->  00:14:21.089],AN,SPEAKER_02,801.2840625000001,861.0890625000001
20,[ 00:13:35.425 -->  00:13:35.745],J,SPEAKER_00,815.4253125,815.7459375000001
21,[ 00:14:21.308 -->  00:15:49.986],K,SPEAKER_00,861.3084375000001,949.9865625000001
22,[ 00:15:50.475 -->  00:16:09.882],AO,SPEAKER_02,950.4759375000001,969.8821875000001
23,[ 00:16:10.067 -->  00:19:08.031],L,SPEAKER_00,970.0678125000001,1148.0315625000003
24,[ 00:19:13.262 -->  00:20:39.139],AB,SPEAKER_01,1153.2628125,1239.1396875
25,[ 00:20:43.307 -->  00:22:16.997],M,SPEAKER_00,1243.3078125000002,1336.9978125000002
26,[ 00:22:17.284 -->  00:22:35.340],AP,SPEAKER_02,1337.2846875,1355.3409375
27,[ 00:22:35.543 -->  00:24:27.340],N,SPEAKER_00,1355.5434375000004,1467.3403125000004
28,[ 00:24:27.914 -->  00:24:42.004],AQ,SPEAKER_02,1467.9140625,1482.0046875000003
29,[ 00:24:42.224 -->  00:26:59.164],O,SPEAKER_00,1482.2240625000004,1619.1646875000001
30,[ 00:26:59.519 -->  00:27:50.768],AR,SPEAKER_02,1619.5190625,1670.7684375000003
31,[ 00:27:51.055 -->  00:29:41.451],P,SPEAKER_00,1671.0553125000001,1781.4515625000004
32,[ 00:29:06.334 -->  00:29:06.368],AS,SPEAKER_02,1746.3346875000002,1746.3684375000003
33,[ 00:29:41.789 -->  00:30:05.498],AT,SPEAKER_02,1781.7890625000005,1805.4984375000004
34,[ 00:30:05.667 -->  00:32:43.397],Q,SPEAKER_00,1805.6671875000002,1963.3978125000003
35,[ 00:33:00.576 -->  00:33:52.467],R,SPEAKER_00,1980.5765625000004,2032.4671875000004
36,[ 00:33:52.467 -->  00:34:19.129],AU,SPEAKER_02,2032.4671875000004,2059.1296875
37,[ 00:34:19.568 -->  00:36:46.465],S,SPEAKER_00,2059.5684375,2206.4653125000004
38,[ 00:36:47.055 -->  00:37:34.677],T,SPEAKER_00,2207.0559375000003,2254.6771875000004
39,[ 00:37:35.031 -->  00:37:39.959],AV,SPEAKER_02,2255.0315625000003,2259.9590625
40,[ 00:37:40.026 -->  00:40:55.827],U,SPEAKER_00,2260.0265625,2455.8271875
41,[ 00:39:56.494 -->  00:39:56.764],AC,SPEAKER_01,2396.4946875000005,2396.7646875
42,[ 00:39:56.764 -->  00:39:56.899],AW,SPEAKER_02,2396.7646875,2396.8996875000003
43,[ 00:40:56.181 -->  00:41:10.019],AX,SPEAKER_02,2456.1815625,2470.0190625000005
44,[ 00:41:10.204 -->  00:42:39.000],V,SPEAKER_00,2470.2046875000005,2559.0009375
45,[ 00:42:39.321 -->  00:43:12.767],AY,SPEAKER_02,2559.3215625000003,2592.7678125
46,[ 00:42:42.544 -->  00:42:43.084],W,SPEAKER_00,2562.5446875,2563.0846874999997
47,[ 00:43:08.633 -->  00:43:09.156],X,SPEAKER_00,2588.6334375000006,2589.1565625000003
48,[ 00:43:13.139 -->  00:44:08.185],Y,SPEAKER_00,2593.1390625000004,2648.1853125
49,[ 00:44:08.067 -->  00:44:10.935],AZ,SPEAKER_02,2648.0671875,2650.9359375000004
50,[ 00:44:11.070 -->  00:44:14.057],Z,SPEAKER_00,2651.0709375000006,2654.0578125
51,[ 00:44:22.697 -->  00:44:53.984],AD,SPEAKER_01,2662.6978125000005,2693.9840625000006
